SN,loan__id,g_10_1,g_10_2,g_10_3,g_10_6,g_10_8,g10_1n_1,g10_1n_2,g10_1n_3,g10_1n_4
82,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,False,True,True,True,True,True,False,False
3460,Bank,True,True,True,True,True,True,True,False,False
7303,SACCOS,False,True,True,False,False, , , , 
7407,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,False,False,True, , , , 
1164,SACCOS,True,True,True,False,True,True,True,True,True
9295,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,True,False
8026,Bank,True,True,True,True,False,True,True,True,True
2353,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,True
7308,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
9004,Bank,True,True,True,True,False,True,True,False,False
593,SACCOS,True,True,True,True,True,True,True,True,True
7428,Bank,True,True,True,True,False,True,True,True,False
8291,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,True,True,True, , , , 
9163,SACCOS,True,True,True,True,True,True,True,False,False
9611,SACCOS,False,True,True,True,True, , , , 
1484,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,True
827,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
101,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,False,True,False,True,False,False,True
6818,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
1678,Bank,True,True,True,True,False,False,False,False,True
8731,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
9617,Bank,True,True,True,True,True,True,True,True,False
4777,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
7121,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,False,True,True,True,False,False
9618,Bank,True,True,True,True,True,True,True,False,False
4290,Bank,True,True,True,True,False,True,True,False,False
7449,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,False,False
114,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,False,False,True,True,True,True,False
7893,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,False,True,True,False,False
6292,SACCOS,True,True,True,False,False,True,True,False,False
2149,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,False,True,True,True,False,False
9858,Bank,True,True,True,True,False,True,True,False,False
6824,Bank,True,True,True,True,True,True,True,True,True
6293,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",True,True,True,True,True,True,True,True,False
6646,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,False,False,True,True, , , , 
9622,"Microfinance institution such as PRIDE, BRAC BAYPORT etc",False,True,False,True,True, , , , 
9579,SACCOS,True,True,True,True,True,True,True,False,False
