SN,Exp_id,E14_3,E14_2
6628,You received no money/less money than you expected,Yes,Cut down on expenses
5988,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
4746,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
4746,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
2128,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
2128,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
2128,You had large unforeseen medical expenses,Yes,Nothing
2730,You received no money/less money than you expected,Yes,Worked more/did casual jobs
80,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
80,You had large unforeseen death/funeral expenses,Yes,Nothing
6138,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Borrowed money
1860,You had large unforeseen death/funeral expenses,Yes,Worked more/did casual jobs
3797,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
81,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
81,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
81,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
81,You had large unforeseen medical expenses,Yes,Nothing
81,You received no money/less money than you expected,Yes,Nothing
6629,Harvest/crop failure/loss of livestock only for those who farm?,No,Sold agriproducts/livestock/harvest
6629,You had large unforeseen death/funeral expenses,No,Used savings;
1861,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
82,You received no money/less money than you expected,Yes,Worked more/did casual jobs
82,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Borrowed money
82,You had large unforeseen medical expenses,Yes,Borrowed money
2349,You had large unforeseen medical expenses,Yes,Borrowed money
7302,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
7302,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
5813,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
5813,You had large unforeseen medical expenses,Yes,Borrowed money
3460,You had large unforeseen medical expenses,No,Worked more/did casual jobs
7303,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
7303,You received no money/less money than you expected,Yes,Worked more/did casual jobs
1163,You had large unforeseen medical expenses,Yes,Borrowed money
9603,You had large unforeseen medical expenses,No,Help from friends/relatives/community/Government
581,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
581,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
4748,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
2951,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
2951,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,No,Nothing
7407,You had large unforeseen death/funeral expenses,Yes,Borrowed money
4749,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
1164,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
8420,You received no money/less money than you expected,Yes,Nothing
8420,"You had large unforeseen expenses, specify",Yes,Nothing
5357,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
3798,You received no money/less money than you expected,Yes,Borrowed money
1165,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold agriproducts/livestock/harvest
1165,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
3976,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
3976,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
3976,You received no money/less money than you expected,Yes,Cut down on expenses
7408,You received no money/less money than you expected,Yes,Cut down on expenses
7111,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
7111,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
7111,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Worked more/did casual jobs
8024,You received no money/less money than you expected,Yes,Cut down on expenses
7112,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Used savings;
3977,"You had large unforeseen expenses, specify",Yes,Used savings;
3977,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
6630,You received no money/less money than you expected,Yes,Cut down on expenses
6630,"You had large unforeseen expenses, specify",Yes,Used savings;
2733,You had large unforeseen medical expenses,Yes,Used savings;
2733,You had large unforeseen death/funeral expenses,Yes,Used savings;
4269,You had large unforeseen medical expenses,Yes,Cut down on expenses
85,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
1668,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
1668,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
1863,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
1863,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
1863,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
1863,You received no money/less money than you expected,Yes,Sold agriproducts/livestock/harvest
8714,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
8714,You had large unforeseen medical expenses,Yes,Cut down on expenses
8714,You received no money/less money than you expected,Yes,Worked more/did casual jobs
86,You had large unforeseen death/funeral expenses,Yes,Sold an asset/something obtained for this purpose
86,You received no money/less money than you expected,Yes,Sold an asset/something obtained for this purpose
86,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold an asset/something obtained for this purpose
86,"You had large unforeseen expenses, specify",Yes,Sold an asset/something obtained for this purpose
86,You had large unforeseen medical expenses,Yes,Sold an asset/something obtained for this purpose
86,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Sold an asset/something obtained for this purpose
2129,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Nothing
2129,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
2129,You received no money/less money than you expected,Yes,Nothing
87,You had large unforeseen medical expenses,Yes,Used savings;
87,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
87,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
87,You received no money/less money than you expected,Yes,Cut down on expenses
87,You had large unforeseen death/funeral expenses,Yes,Used savings;
88,You had large unforeseen death/funeral expenses,Yes,Sold asset/something not obtained for this purpose
88,You had large unforeseen medical expenses,Yes,Sold agriproducts/livestock/harvest
88,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Sold asset/something not obtained for this purpose
6992,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
389,You had large unforeseen medical expenses,Yes,Used savings;
389,You had large unforeseen death/funeral expenses,Yes,Borrowed money
1166,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
1167,You received no money/less money than you expected,No,Sold agriproducts/livestock/harvest
1167,You had large unforeseen medical expenses,No,Sold agriproducts/livestock/harvest
2953,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
89,You received no money/less money than you expected,Yes,Worked more/did casual jobs
89,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
1864,You had large unforeseen death/funeral expenses,Yes,Used savings;
1864,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Cut down on expenses
1864,Loss of income as a result of an unexpected drop in the price you get for produce/harvest/ products,Yes,Cut down on expenses
1864,You had large unforeseen medical expenses,Yes,Worked more/did casual jobs
390,You had large unforeseen medical expenses,Yes,Borrowed money
390,You received no money/less money than you expected,Yes,Borrowed money
4270,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Nothing
9296,Harvest/crop failure/loss of livestock only for those who farm?,Yes,Worked more/did casual jobs
8998,You had large unforeseen death/funeral expenses,Yes,Sold agriproducts/livestock/harvest
7411,You had large unforeseen death/funeral expenses,Yes,Used savings;
