SN,act_id,c17_2
4746,Cattle,Throughout the year
4746,Oil seeds,Seasonally
4746,"Goats, sheep, pigs, etc.",Throughout the year
4746,"Food crops: maize, rice, beans, etc.",Seasonally
4536,"Other livestock such as poultry, rabbits etc.",Throughout the year
4536,"Food crops: maize, rice, beans, etc.",Seasonally
4536,Cattle,Throughout the year
4536,"Goats, sheep, pigs, etc.",Throughout the year
2128,"Other livestock such as poultry, rabbits etc.",Throughout the year
2128,"Food crops: maize, rice, beans, etc.",Seasonally
2128,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
2730,"Goats, sheep, pigs, etc.",Throughout the year
2730,Oil seeds,Seasonally
2730,"Other livestock such as poultry, rabbits etc.",Throughout the year
2730,Other (specify),Seasonally
2730,Cattle,Throughout the year
2730,"Food crops: maize, rice, beans, etc.",Seasonally
2731,"Food crops: maize, rice, beans, etc.",Seasonally
2731,"Other livestock such as poultry, rabbits etc.",Throughout the year
2731,"Goats, sheep, pigs, etc.",Throughout the year
8997,"Other livestock such as poultry, rabbits etc.",Throughout the year
8997,Cattle,Throughout the year
8997,"Goats, sheep, pigs, etc.",Throughout the year
8997,"Food crops: maize, rice, beans, etc.",Seasonally
2348,"Goats, sheep, pigs, etc.",Throughout the year
2348,Cattle,Throughout the year
2348,Oil seeds,Seasonally
2348,"Other livestock such as poultry, rabbits etc.",Throughout the year
2348,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
2348,"Food crops: maize, rice, beans, etc.",Seasonally
5057,"Food crops: maize, rice, beans, etc.",Seasonally
1860,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
1860,"Food crops: maize, rice, beans, etc.",Seasonally
6990,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
6990,"Food crops: maize, rice, beans, etc.",Seasonally
3459,"Food crops: maize, rice, beans, etc.",Seasonally
3459,"Other livestock such as poultry, rabbits etc.",Throughout the year
81,"Food crops: maize, rice, beans, etc.",Seasonally
81,Oil seeds,Seasonally
6629,"Food crops: maize, rice, beans, etc.",Throughout the year
6629,Oil seeds,Seasonally
6629,"Goats, sheep, pigs, etc.",Throughout the year
6629,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
6629,Cattle,Throughout the year
6629,"Other livestock such as poultry, rabbits etc.",Throughout the year
6629,Beekeeping,Seasonally
8286,"Food crops: maize, rice, beans, etc.",Seasonally
1861,"Other livestock such as poultry, rabbits etc.",Throughout the year
1861,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
1861,"Food crops: maize, rice, beans, etc.",Throughout the year
82,Oil seeds,Seasonally
82,"Food crops: maize, rice, beans, etc.",Seasonally
7109,"Food crops: maize, rice, beans, etc.",Seasonally
5355,"Goats, sheep, pigs, etc.",Throughout the year
5355,"Food crops: maize, rice, beans, etc.",Throughout the year
5355,Cattle,Throughout the year
9220,"Food crops: maize, rice, beans, etc.",Only sometimes
2349,"Food crops: maize, rice, beans, etc.",Seasonally
2349,Oil seeds,Seasonally
2349,Cattle,Throughout the year
9811,"Other livestock such as poultry, rabbits etc.",Throughout the year
9811,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Only sometimes
9811,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
83,"Goats, sheep, pigs, etc.",Throughout the year
83,"Food crops: maize, rice, beans, etc.",Throughout the year
83,Cattle,Throughout the year
1162,Oil seeds,Seasonally
1162,"Other livestock such as poultry, rabbits etc.",Seasonally
1162,"Food crops: maize, rice, beans, etc.",Seasonally
6495,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
6495,"Food crops: maize, rice, beans, etc.",Seasonally
7302,"Food crops: maize, rice, beans, etc.",Seasonally
5813,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
5813,"Other livestock such as poultry, rabbits etc.",Throughout the year
5813,"Food crops: maize, rice, beans, etc.",Seasonally
3460,"Food crops: maize, rice, beans, etc.",Seasonally
1163,"Food crops: maize, rice, beans, etc.",Seasonally
5356,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
5356,"Food crops: maize, rice, beans, etc.",Seasonally
5356,Cattle,Throughout the year
5356,"Other livestock such as poultry, rabbits etc.",Throughout the year
9603,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
581,"Other livestock such as poultry, rabbits etc.",Seasonally
581,"Food crops: maize, rice, beans, etc.",Seasonally
581,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Throughout the year
4747,"Goats, sheep, pigs, etc.",Throughout the year
4747,"Food crops: maize, rice, beans, etc.",Seasonally
4747,Cattle,Throughout the year
4748,"Other livestock such as poultry, rabbits etc.",Throughout the year
4748,"Food crops: maize, rice, beans, etc.",Throughout the year
4748,"Goats, sheep, pigs, etc.",Throughout the year
4748,Cattle,Throughout the year
8114,Cattle,Throughout the year
8114,"Food crops: maize, rice, beans, etc.",Seasonally
8114,"Vegetables – tomatoes, carrots, onions, cabbages, etc.",Seasonally
2542,"Food crops: maize, rice, beans, etc.",Seasonally
2542,Cattle,Throughout the year
2542,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Throughout the year
2951,"Food crops: maize, rice, beans, etc.",Seasonally
2951,"Cash crops: coffee, cotton, cashew nuts, spices etc.",Seasonally
2951,"Goats, sheep, pigs, etc.",Throughout the year
2951,Cattle,Throughout the year
3461,"Food crops: maize, rice, beans, etc.",Seasonally
388,"Other livestock such as poultry, rabbits etc.",Throughout the year
388,"Food crops: maize, rice, beans, etc.",Throughout the year
388,"Goats, sheep, pigs, etc.",Throughout the year
388,Cattle,Throughout the year
3975,"Fruit – bananas, mangos, pineapple, oranges, coconuts, avocado etc.",Seasonally
3975,"Food crops: maize, rice, beans, etc.",Seasonally
4749,"Goats, sheep, pigs, etc.",Throughout the year
4749,"Food crops: maize, rice, beans, etc.",Seasonally
