SN,Pers1_id,pay5_2,pay5_3a,pay5_3aOther,pay5_3b__0,pay5_4,pay5_5,pay5_6
9758,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through Agent,Other
8079,Child,Urban community, , ,Dar es Salaam,Several times a year,Through Agent,Other
8519,Friend,Outside of Tanzania,Other specify,CONGO, ,Seasonally,Through Agent,Other
2564,"Other, specify",Rural village, , ,Mbeya,Monthly,Friends or family takes it there,Other
4981,Friend,Urban community, , ,Manyara,When they ask you to/in an emergency,Friends or family takes it there,Other
5246,"Other, specify",Rural village, , ,Katavi,Only once off/Once a year,Through mobile phone:different network,Other
7556,"Other, specify",Urban community, , ,Dar es Salaam,Monthly,Through mobile phone:different network,Other
7561,"Other, specify",Urban community, , ,Dar es Salaam,Monthly,Through mobile phone:different network,Other
6724,"Other, specify",Urban community, , ,Mwanza,Seasonally,Through mobile phone:different network,Other
4740,"Other, specify",Rural village, , ,Mara,Several times a year,Through mobile phone:different network,Other
6852,Someone who borrowed money from you,Urban community, , ,Arusha,Monthly,Through mobile phone:different network,Other
2810,Someone who borrowed money from you,Rural village, , ,Singida,When you can,Through mobile phone:different network,Other
8465,Someone who borrowed money from you,Urban community, , ,Kigoma,Several times a year,Through mobile phone:different network,Other
3632,Someone who borrowed money from you,Rural village, , ,Kigoma,Monthly,Through mobile phone:different network,Other
2939,Someone who borrowed money from you,Rural village, , ,Manyara,When you can,Through mobile phone:different network,Other
4743,Someone who borrowed money from you,Rural village, , ,Mwanza,Only once off/Once a year,Through mobile phone:different network,Other
7418,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Other
9813,Friend,Urban community, , ,Kaskazini Pemba,When they ask you to/in an emergency,Through mobile phone:different network,Other
4809,Friend,Urban community, , ,Kilimanjaro,When they ask you to/in an emergency,Through mobile phone:different network,Other
4334,Friend,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone:different network,Other
9664,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Other
8091,Friend,Urban community, , ,Morogoro,When you can,Through mobile phone:different network,Other
7572,Friend,Urban community, , ,Lindi,When they ask you to/in an emergency,Through mobile phone:different network,Other
9505,Friend,Urban community, , ,Songwe,Only once off/Once a year,Through mobile phone:different network,Other
8574,Friend,Urban community, , ,Arusha,Seasonally,Through mobile phone:different network,Other
7685,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Other
7692,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Other
3632,Friend,Rural village, , ,Kigoma,Monthly,Through mobile phone:different network,Other
8260,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Other
298,Friend,Urban community, , ,Dar es Salaam,When you can,Through mobile phone:different network,Other
7742,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Other
2898,Friend,Urban community, , ,Singida,When you can,Through mobile phone:different network,Other
5020,Friend,Urban community, , ,Dodoma,When they ask you to/in an emergency,Through mobile phone:different network,Other
8963,Friend,Urban community, , ,Mwanza,Fortnightly,Through mobile phone:different network,Other
7866,Friend,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Other
8284,Friend,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone:different network,Other
6801,Friend,Urban community, , ,Morogoro,When you can,Through mobile phone:different network,Other
1483,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Other
2552,Other family member,Rural village, , ,Mbeya,Only once off/Once a year,Through mobile phone:different network,Other
868,Other family member,Urban community, , ,Tanga,Only once off/Once a year,Through mobile phone:different network,Other
3304,Other family member,Rural village, , ,Rukwa,When they ask you to/in an emergency,Through mobile phone:different network,Other
7957,Other family member,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone:different network,Other
7157,Other family member,Urban community, , ,Morogoro,When you can,Through mobile phone:different network,Other
9826,Other family member,Urban community, , ,Mjini Magharibi,Only once off/Once a year,Through mobile phone:different network,Other
7561,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Other
2602,Other family member,Rural village, , ,Rukwa,Several times a year,Through mobile phone:different network,Other
5286,Other family member,Urban community, , ,Kigoma,When they ask you to/in an emergency,Through mobile phone:different network,Other
298,Other family member,Urban community, , ,Iringa,Monthly,Through mobile phone:different network,Other
6239,Other family member,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone:different network,Other
9760,Other family member,Urban community, , ,Mjini Magharibi,Monthly,Through mobile phone:different network,Other
4701,Other family member,Urban community, , ,Mara,When you can,Through mobile phone:different network,Other
9150,Other family member,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone:different network,Other
3953,Other family member,Urban community, , ,Shinyanga,When they ask you to/in an emergency,Through mobile phone:different network,Other
6785,Other family member,Urban community, , ,Dodoma,Monthly,Through mobile phone:different network,Other
9375,Parent,Urban community, , ,Geita,Only once off/Once a year,Through mobile phone:different network,Other
3952,Parent,Urban community, , ,Shinyanga,Several times a year,Through mobile phone:different network,Other
7861,Parent,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone:different network,Other
9256,Child,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone:different network,Other
8553,Spouse,Urban community, , ,Lindi,Monthly,Through mobile phone:different network,Other
9241,Spouse,Urban community, , ,Rukwa,Several times a year,Through mobile phone:different network,Other
9028,"Other, specify",Urban community, , ,Mara,Monthly,Through mobile phone using the same network,Other
1537,"Other, specify",Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Other
5128,"Other, specify",Urban community, , ,Njombe,Several times a year,Through mobile phone using the same network,Other
1607,"Other, specify",Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Other
4507,"Other, specify",Urban community, , ,Dar es Salaam,When you can,Through mobile phone using the same network,Other
6539,Someone who borrowed money from you,Rural village, , ,Kusini Pemba,When they ask you to/in an emergency,Through mobile phone using the same network,Other
7682,Someone who borrowed money from you,Urban community, , ,Kilimanjaro,When they ask you to/in an emergency,Through mobile phone using the same network,Other
5731,Someone who borrowed money from you,Urban community, , ,Mwanza,Only once off/Once a year,Through mobile phone using the same network,Other
6918,Someone who borrowed money from you,Urban community, , ,Arusha,When they ask you to/in an emergency,Through mobile phone using the same network,Other
8972,Someone who borrowed money from you,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Other
4277,Friend,Rural village, , ,Mwanza,Seasonally,Through mobile phone using the same network,Other
6152,Friend,Urban community, , ,Mjini Magharibi,Weekly,Through mobile phone using the same network,Other
7453,Friend,Rural village, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Other
8233,Friend,Urban community, , ,Singida,When they ask you to/in an emergency,Through mobile phone using the same network,Other
6300,Friend,Urban community, , ,Mjini Magharibi,Monthly,Through mobile phone using the same network,Other
8776,Friend,Urban community, , ,Mwanza,Seasonally,Through mobile phone using the same network,Other
3307,Friend,Urban community, , ,Rukwa,Only once off/Once a year,Through mobile phone using the same network,Other
8782,Friend,Urban community, , ,Mwanza,When they ask you to/in an emergency,Through mobile phone using the same network,Other
9656,Friend,Urban community, , ,Mjini Magharibi,When they ask you to/in an emergency,Through mobile phone using the same network,Other
9236,Friend,Urban community, , ,Kigoma,Only once off/Once a year,Through mobile phone using the same network,Other
2415,Friend,Rural village, , ,Iringa,Only once off/Once a year,Through mobile phone using the same network,Other
9414,Friend,Rural village, , ,Kagera,Only once off/Once a year,Through mobile phone using the same network,Other
