SN,Pers_id,pay2_2,pay2_3a,pay2_3aOther,pay2_3b__0,pay2_4,pay2_5,pay2_6
1876,Friend,Rural village, , ,Lindi,Only once off/Once a year,Through Agent,Present/Gift
2640,Child,Urban community, , ,Morogoro,Only once off/Once a year,Through mobile phone using the same network,Present/Gift
6683,"Other, specify",Urban community, , ,Dar es Salaam,Seasonally,Through mobile phone: different network,Present/Gift
1755,Child,Urban community, , ,Dar es Salaam,Several times a year,Through Agent,Present/Gift
8046,"Other, specify",Urban community, , ,Ruvuma,Monthly,Through mobile phone using the same network,Rent
8523,Child,Urban community, , ,Geita,Several times a year,Through Agent,Rent
2011,Other family member,Urban community, , ,Mtwara,When you can,Through mobile phone using the same network,Rent
1301,Other family member,Urban community, , ,Dar es Salaam,When they ask you to/in an emergency,Through mobile phone using the same network,Rent
1545,"Other, specify",Urban community, , ,Mbeya,Several times a year,Through mobile phone: different network,Rent
8816,Other family member,Urban community, , ,Mbeya,Several times a year,Through mobile phone using the same network,Rent
3743,"Other, specify",Urban community, , ,Pwani,Several times a year,Through mobile phone: different network,Rent
7950,Other family member,Urban community, , ,Dodoma,Only once off/Once a year,Through Agent,Rent
5212,Other family member,Urban community, , ,Tabora,Monthly,Through mobile phone using the same network,Rent
9009,"Other, specify",Urban community, , ,Mara,Several times a year,Through mobile phone using the same network,Rent
2671,Child,Urban community, , ,Mbeya,Only once off/Once a year,Through mobile phone: different network,Rent
7571,Spouse,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Debt payment
7392,Someone I borrowed money from,Urban community, , ,Pwani,Monthly,Through mobile phone using the same network,Debt payment
7419,Someone I borrowed money from,Rural village, , ,Shinyanga,Monthly,Bank transfer/Pay into bank account,Debt payment
7304,Someone I borrowed money from,Urban community, , ,Dar es Salaam,Several times a year,Through mobile phone using the same network,Debt payment
4988,Someone I borrowed money from,Rural village, , ,Manyara,When they ask you to/in an emergency,Through mobile phone using the same network,Debt payment
2610,Friend,Rural village, , ,Tabora,Only once off/Once a year,Through mobile phone: different network,Debt payment
