SN,income__id,D2_2,D2_3
6628,Piece work/Casual labor/Occasional jobs,Daily,Cash in hand
3458,Piece work/Casual labor/Occasional jobs,Daily,Cash in hand
4746,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services",Occasionally - no particular schedule,Cash in hand
4746,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Seasonally,Cash in hand
4536,Rely on someone else/others to give/send me money,Occasionally - no particular schedule,Cash in hand
2128,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Seasonally,Into a bank account
2730,"Other, specify",Occasionally - no particular schedule,Cash in hand
2730,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Seasonally,Cash in hand
1161,Piece work/Casual labor/Occasional jobs,Occasionally - no particular schedule,Cash in hand
80,Piece work/Casual labor/Occasional jobs,Seasonally,Cash in hand
2731,Piece work/Casual labor/Occasional jobs,Occasionally - no particular schedule,Cash in hand
8997,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Seasonally,Cash in hand
5057,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Occasionally - no particular schedule,Cash in hand
8113,Rely on someone else/others to give/send me money,Daily,Cash in hand
8113,Piece work/Casual labor/Occasional jobs,Occasionally - no particular schedule,Cash in hand
6811,Rely on someone else/others to give/send me money,Occasionally - no particular schedule,Cash in hand
6138,Piece work/Casual labor/Occasional jobs,Occasionally - no particular schedule,Cash in hand
1860,Piece work/Casual labor/Occasional jobs,Monthly,Cash in hand
6990,Piece work/Casual labor/Occasional jobs,Monthly,Cash in hand
3797,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Seasonally,Cash in hand
3459,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Seasonally,Cash in hand
81,Piece work/Casual labor/Occasional jobs,Weekly,Cash in hand
81,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Seasonally,Cash in hand
6629,Pension,Monthly,Into a bank account
6629,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Seasonally,Cash in hand
8286,Piece work/Casual labor/Occasional jobs,Occasionally - no particular schedule,Cash in hand
