SN,income__id,D8_1,D8_2,D8_3
6628,Piece work/Casual labor/Occasional jobs,Monthly,150000, 
3458,Piece work/Casual labor/Occasional jobs,Monthly,20000, 
4746,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services",Monthly,100000, 
4746,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,4000000
4536,Rely on someone else/others to give/send me money,Annually, ,25000
2128,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,3000000
2730,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,100000
2730,"Other, specify",Monthly,62000, 
1161,Piece work/Casual labor/Occasional jobs,Monthly,50000, 
80,Piece work/Casual labor/Occasional jobs,Annually, ,10000
2731,Piece work/Casual labor/Occasional jobs,Monthly,40000, 
8997,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,70000, 
5057,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,500000
8113,Piece work/Casual labor/Occasional jobs,Monthly,40000, 
8113,Rely on someone else/others to give/send me money,Monthly,124000, 
6811,Rely on someone else/others to give/send me money,Monthly,5000, 
6138,Piece work/Casual labor/Occasional jobs,Annually, ,350000
1860,Piece work/Casual labor/Occasional jobs,Monthly,240000, 
6990,Piece work/Casual labor/Occasional jobs,Monthly,100000, 
3797,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,400000
3459,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,100000
81,Piece work/Casual labor/Occasional jobs,Monthly,45000, 
81,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,400000
6629,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,2500000
6629,Pension,Monthly,700000, 
8286,Piece work/Casual labor/Occasional jobs,Monthly,40000, 
1861,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,400000
82,Rental income,Annually, ,20000
82,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,250000, 
7109,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,200000
7109,Piece work/Casual labor/Occasional jobs,Monthly,100000, 
5355,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,150000, 
5355,Rely on someone else/others to give/send me money,Monthly,50000, 
9220,Piece work/Casual labor/Occasional jobs,Monthly,20000, 
2349,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,500000
1162,Piece work/Casual labor/Occasional jobs,Annually, ,80000
1162,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,150000
7405,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,300000, 
7302,Piece work/Casual labor/Occasional jobs,Monthly,20000, 
5813,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,300000
3460,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,2400000, 
7303,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,150000, 
6991,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services",Monthly,60000, 
1163,Social welfare money/grant from Government,Monthly,44000, 
5356,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,56000, 
581,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,200000, 
4747,Rely on someone else/others to give/send me money,Monthly,45000, 
4748,Piece work/Casual labor/Occasional jobs,Monthly,80000, 
8114,Piece work/Casual labor/Occasional jobs,Monthly,210000, 
2951,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,300000
7407,Salaries/wages from regular job,Monthly,50000, 
3461,Rely on someone else/others to give/send me money,Annually, ,50000
8419,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,25000, 
3975,Piece work/Casual labor/Occasional jobs,Annually, ,5000
3975,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services",Monthly,50000, 
4749,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,1500000, 
4749,Piece work/Casual labor/Occasional jobs,Monthly,80000, 
2732,Rely on someone else/others to give/send me money,Monthly,10000, 
1164,Piece work/Casual labor/Occasional jobs,Monthly,200000, 
8420,Piece work/Casual labor/Occasional jobs,Monthly,30000, 
5814,Salaries/wages from regular job,Monthly,10000, 
5357,Piece work/Casual labor/Occasional jobs,Monthly,30000, 
3798,Piece work/Casual labor/Occasional jobs,Monthly,60000, 
1165,Piece work/Casual labor/Occasional jobs,Monthly,25000, 
1165,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,200000
9295,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,150000, 
9295,Piece work/Casual labor/Occasional jobs,Monthly,100000, 
3976,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,400000
7408,Salaries/wages from regular job,Monthly,120000, 
7111,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,10000, 
8023,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,300000
8023,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services",Monthly,200000, 
582,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,50000, 
84,Salaries/wages from regular job,Annually, ,100000000
8083,Piece work/Casual labor/Occasional jobs,Monthly,35000, 
7409,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,450000, 
8024,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,100000, 
5358,Rely on someone else/others to give/send me money,Monthly,10000, 
6812,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,500000
5815,Piece work/Casual labor/Occasional jobs,Monthly,10000, 
1667,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,100000, 
7112,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,300000
3977,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,100000
1475,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services",Monthly,40000, 
1475,Salaries/wages from regular job,Monthly,100000, 
6630,Piece work/Casual labor/Occasional jobs,Monthly,100000, 
6630,Salaries/wages from regular job,Monthly,150000, 
1862,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,100000
2733,Piece work/Casual labor/Occasional jobs,Annually, ,500000
85,Piece work/Casual labor/Occasional jobs,Monthly,15000, 
85,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,360000
1668,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services",Monthly,160000, 
1863,Piece work/Casual labor/Occasional jobs,Monthly,10000, 
1863,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,200000
8714,Social welfare money/grant from Government,Annually, ,312000
8714,Piece work/Casual labor/Occasional jobs,Monthly,40000, 
8714,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,90000
86,Piece work/Casual labor/Occasional jobs,Monthly,3000, 
2129,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,600000, 
2129,Social welfare money/grant from Government,Monthly,60000, 
87,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,700000
87,Piece work/Casual labor/Occasional jobs,Monthly,50000, 
2952,Rely on someone else/others to give/send me money,Annually, ,65000
2952,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,50000
4750,Rely on someone else/others to give/send me money,Monthly,10000, 
4751,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,270000
4751,Piece work/Casual labor/Occasional jobs,Annually, ,30000
5359,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,30000, 
1476,Piece work/Casual labor/Occasional jobs,Monthly,20000, 
88,Piece work/Casual labor/Occasional jobs,Monthly,3000, 
6992,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,100000
6992,Piece work/Casual labor/Occasional jobs,Monthly,50000, 
9543,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,600000, 
7410,Salaries/wages from regular job,Monthly,300000, 
2734,Rely on someone else/others to give/send me money,Monthly,20000, 
389,Piece work/Casual labor/Occasional jobs,Monthly,65000, 
1166,Piece work/Casual labor/Occasional jobs,Monthly,80000, 
1167,Piece work/Casual labor/Occasional jobs,Monthly,20000, 
1167,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,1000000
1167,"Other, specify",Monthly,100000, 
2953,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,20000, 
89,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,1000000
89,Piece work/Casual labor/Occasional jobs,Monthly,300000, 
1864,Piece work/Casual labor/Occasional jobs,Monthly,50000, 
1864,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,20000
390,Salaries/wages from regular job,Monthly,50000, 
4270,Piece work/Casual labor/Occasional jobs,Monthly,20000, 
5816,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,20000, 
9296,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Annually, ,200000
9296,Piece work/Casual labor/Occasional jobs,Monthly,10000, 
8998,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Monthly,15000, 
7411,Salaries/wages from regular job,Monthly,400000, 
7412,Piece work/Casual labor/Occasional jobs,Monthly,170000, 
8287,"Other, specify",Annually, ,20000
